pickup_datetime,dropoff_datetime,trip_distance,tip_amount,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,Distance
2021-07-26 19:00:38,2021-07-26 19:15:41,2.83,0.0,-73.9596347414917,40.76694821638323,-73.97863194845081,40.783961430313774,2.47745078954778
2021-07-16 17:29:33,2021-07-16 18:07:02,3.57,6.82,,,,,
2021-07-31 08:26:58,2021-07-31 08:34:02,1.29,2.06,-73.97756868222716,40.764421405786784,-73.9596347414917,40.76694821638323,1.5362636333215185
2021-07-17 18:23:19,2021-07-17 18:44:37,5.82,1.0,-73.96563453538072,40.76861518381155,-73.98593745682462,40.727620195909545,4.86872653823874
2021-07-17 23:06:56,2021-07-17 23:53:23,25.6,21.35,-73.87362864289112,40.77437570593249,,,
2021-07-10 12:19:33,2021-07-10 12:23:56,0.6,1.0,-73.97649472376759,40.740438978596416,-73.97849159965224,40.7477457936439,0.8297139024266623
2021-07-25 19:41:56,2021-07-25 19:54:39,3.53,1.0,-73.97863194845081,40.783961430313774,-74.0040151252865,40.75330906598335,4.023244189195323
2021-07-23 12:38:00,2021-07-23 12:59:00,7.64,0.0,-73.94077166756264,40.818257861119235,-73.87362864289112,40.77437570593249,7.466892328272124
2021-07-13 14:38:01,2021-07-13 14:48:29,0.67,1.5,-73.97849159965224,40.7477457936439,-73.98515639467682,40.74857462935672,0.5689545177941674
2021-07-02 21:51:59,2021-07-02 22:15:45,4.81,4.56,-73.951009874818,40.77876585543437,-74.00153756565634,40.72388811004171,7.439858064555922
2021-07-04 05:20:22,2021-07-04 05:52:34,27.61,11.0,-73.78653298334973,40.64698489239515,-73.90698710771419,40.89952906437648,29.857356552866833
2021-07-19 19:00:43,2021-07-19 19:04:33,0.4,0.0,-73.95378223705632,40.81797514762943,-73.95378223705632,40.81797514762943,0.0
2021-07-27 17:33:07,2021-07-27 17:41:54,1.21,2.36,-73.99045782354732,40.74033744175701,-73.99991742024712,40.74842755506572,1.201799999649726
2021-07-11 22:42:27,2021-07-11 22:52:39,1.5,0.0,-73.9841964890757,40.75981761719185,-73.97649472376759,40.740438978596416,2.2503554288729157
2021-07-22 21:50:46,2021-07-22 21:55:08,1.2,2.45,-73.9723559435203,40.75668765218883,-73.97849159965224,40.7477457936439,1.1205931468809631
2021-07-31 20:37:25,2021-07-31 20:41:07,1.33,1.86,-73.94651035601464,40.77593240314994,-73.94575026755157,40.79001075149546,1.566748463806597
2021-07-18 23:31:05,2021-07-18 23:38:33,1.34,2.16,-73.98878659911529,40.75351275872571,-73.98405213268919,40.73682405761897,1.898077486328493
2021-07-26 14:19:54,2021-07-26 14:48:09,4.2,4.65,-73.97659767323343,40.73182063601676,-73.99513522075517,40.76623772504186,4.133339560521088
2021-07-04 00:38:53,2021-07-04 00:42:53,0.86,1.76,-73.99738026020042,40.72834039137229,-73.99430477051166,40.732579073027026,0.5378659465513116
2021-07-18 18:43:15,2021-07-18 18:50:42,1.52,0.0,-73.99991742024712,40.74842755506572,-74.0040151252865,40.75330906598335,0.6432550883827701
